cvegeo,ids,area_km2,densidad_pob,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
9.002E+11,0.7616,0.335694646,2.268728471,0.698662164,0.301337836,Bajo,2,0.25,7016,5520,0.78677309,0.771904394
9.002E+11,0.7716,0.314789523,2.451161626,0.711650864,0.288349136,Bajo,2,0.25,5779,4491,0.77712407,0.76158253
9.002E+11,0.9637,0.211774823,4.550588149,0.961163788,0.038836212,Muy alto,5,1,2351,575,0.244576776,0.191899754
9.002E+11,0.8862,0.054866221,16.15201458,0.860501364,0.139498636,Alto,4,0.75,1712,982,0.573598131,0.543864361
9.002E+11,0.9505,0.209053807,4.546676347,0.944018704,0.055981296,Muy alto,5,1,4943,1352,0.273518106,0.222859216
9.002E+11,0.847,0.272915223,3.103527865,0.80958566,0.19041434,Medio,3,0.5,6943,4028,0.580152672,0.550875962
9.002E+11,0.9156,0.152982678,5.984991336,0.898688141,0.101311859,Alto,4,0.75,4227,2133,0.504613201,0.470068987
9.002E+11,0.9131,0.13219782,6.907073057,0.895440966,0.104559034,Alto,4,0.75,2808,1481,0.527421652,0.494467913
9.002E+11,0.9497,0.08124175,11.68980233,0.942979608,0.057020392,Muy alto,5,1,2509,805,0.320844958,0.273486254
9.002E+11,0.9558,0.073161306,13.06428293,0.950902715,0.049097285,Muy alto,5,1,919,258,0.280739935,0.230584635
9.002E+11,0.8878,0.195587967,4.539134048,0.862579556,0.137420444,Alto,4,0.75,3383,1515,0.447827372,0.40932338
9.002E+11,0.6913,1.675928481,0.412487769,0.607351604,0.392648396,Muy bajo,1,0,386,338,0.875647668,0.866976356
090020001117A,0.9643,0.071576817,13.47223928,0.961943109,0.038056891,Muy alto,5,1,1593,373,0.234149404,0.180745262
9.002E+11,0.9639,0.048372953,19.92642476,0.961423562,0.038576438,Muy alto,5,1,1411,336,0.238128987,0.185002349
9.003E+11,0.9445,0.690947283,1.366963911,0.936225484,0.063774516,Muy alto,5,1,1530,441,0.288235294,0.238602659
9.003E+11,0.963,0.259050843,3.717416964,0.960254579,0.039745421,Muy alto,5,1,1503,353,0.234863606,0.181509268
9.003E+11,0.943,0.294190088,3.205410509,0.934277179,0.065722821,Muy alto,5,1,1269,374,0.294720252,0.245539825
9.003E+11,0.9546,0.454174111,2.10183711,0.949344071,0.050655929,Muy alto,5,1,2826,764,0.27034678,0.219466747
9.003E+11,0.936,0.4697123,1.992709154,0.925185089,0.074814911,Alto,4,0.75,3692,1191,0.322589382,0.27535232
9.003E+11,0.9105,0.524087902,1.737303983,0.892063904,0.107936096,Alto,4,0.75,4048,1640,0.40513834,0.363657565
9.003E+11,0.9497,1.22452441,0.77556641,0.942979608,0.057020392,Muy alto,5,1,2637,776,0.294273796,0.245062237
090030001008A,0.9687,0.274536453,3.52849317,0.967658137,0.032341863,Muy alto,5,1,2172,483,0.222375691,0.168150547
9.003E+11,0.9393,0.316716034,2.965748176,0.92947136,0.07052864,Muy alto,5,1,3368,1131,0.335807601,0.289492269
9.003E+11,0.9091,0.480987736,1.890068982,0.890245486,0.109754514,Alto,4,0.75,6819,2857,0.418976389,0.378460567
9.003E+11,0.9163,0.379215346,2.416305165,0.89959735,0.10040265,Alto,4,0.75,1024,383,0.374023438,0.330372965
9.003E+11,0.9403,0.38319271,2.453856703,0.93077023,0.06922977,Muy alto,5,1,1651,488,0.295578437,0.246457853
9.003E+11,0.9203,0.411053491,2.238881363,0.90479283,0.09520717,Alto,4,0.75,1929,744,0.385692068,0.34285527
9.003E+11,0.9467,0.378465217,2.501418777,0.939082998,0.060917002,Muy alto,5,1,1915,575,0.300261097,0.251467043
090030001015A,0.9259,0.574442865,1.611822613,0.912066502,0.087933498,Alto,4,0.75,4805,1770,0.368366285,0.324321329
9.003E+11,0.9548,0.649072228,1.471022729,0.949603845,0.050396155,Muy alto,5,1,2787,817,0.293146753,0.243856603
9.003E+11,0.9665,0.231977475,4.166352797,0.964800623,0.035199377,Muy alto,5,1,2049,458,0.22352367,0.169378577
9.003E+11,0.9581,0.260367965,3.679792167,0.953890116,0.046109884,Muy alto,5,1,2664,711,0.266891892,0.215770943
9.003E+11,0.9415,0.306087623,3.075916595,0.932328874,0.067671126,Muy alto,5,1,1595,517,0.324137931,0.277008852
9.003E+11,0.9278,0.362567442,2.558972186,0.914534355,0.085465645,Alto,4,0.75,5393,1787,0.331355461,0.284729673
9.003E+11,0.9457,0.357377395,2.646222207,0.937784128,0.062215872,Muy alto,5,1,5942,1674,0.281723325,0.2316366
090030001022A,0.8024,0.471289538,1.702562726,0.751656059,0.248343941,Medio,3,0.5,8548,5600,0.655124006,0.631075181
