cvegeo,ids,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
0900200011038,0.7616,0.6986621639173919,0.3013378360826081,Bajo,2.0,0.25,7016.0,5520.0,0.7867730900798175,0.7719043936792531
0900200011042,0.7716,0.7116508637485387,0.2883491362514613,Bajo,2.0,0.25,5779.0,4491.0,0.7771240699082886,0.7615825299555333
0900200011057,0.9637,0.9611637875048707,0.03883621249512925,Muy alto,5.0,1.0,2351.0,575.0,0.24457677584006807,0.19189975407872414
0900200011061,0.8862,0.8605013638134822,0.1394986361865178,Alto,4.0,0.75,1712.0,982.0,0.5735981308411215,0.5438643606545637
0900200011080,0.9505,0.9440187037277569,0.05598129627224313,Muy alto,5.0,1.0,4943.0,1352.0,0.2735181064131095,0.22285921574919607
0900200011095,0.847,0.8095856604753864,0.19041433952461362,Medio,3.0,0.5,6943.0,4028.0,0.5801526717557252,0.5508759615103389
0900200011112,0.9156,0.8986881413170541,0.1013118586829459,Alto,4.0,0.75,4227.0,2133.0,0.5046132008516678,0.47006898727120944
0900200011127,0.9131,0.8954409663592674,0.1045590336407326,Alto,4.0,0.75,2808.0,1481.0,0.5274216524216524,0.4944679132418596
0900200011131,0.9497,0.942979607741265,0.05702039225873501,Muy alto,5.0,1.0,2509.0,805.0,0.3208449581506576,0.27348625408300237
0900200011146,0.9558,0.9509027146382646,0.04909728536173541,Muy alto,5.0,1.0,919.0,258.0,0.2807399347116431,0.23058463513981134
0900200011150,0.8878,0.8625795557864657,0.13742044421353428,Alto,4.0,0.75,3383.0,1515.0,0.4478273721548921,0.4093233804814019
0900200011165,0.6913,0.6073516041044291,0.3926483958955709,Muy bajo,1.0,0.0,386.0,338.0,0.8756476683937824,0.8669763563813948
090020001117A,0.9643,0.9619431094947396,0.0380568905052604,Muy alto,5.0,1.0,1593.0,373.0,0.23414940364092907,0.18074526243887892
0900200011184,0.9639,0.9614235615014937,0.03857643849850634,Muy alto,5.0,1.0,1411.0,336.0,0.23812898653437278,0.18500234881378116
0900300010018,0.9445,0.9362254838290687,0.06377451617093133,Muy alto,5.0,1.0,1530.0,441.0,0.28823529411764703,0.23860265945458645
0900300010022,0.963,0.9602545785166904,0.03974542148330962,Muy alto,5.0,1.0,1503.0,353.0,0.23486360612109114,0.18150926754409447
0900300010037,0.943,0.9342771788543965,0.06572282114560346,Muy alto,5.0,1.0,1269.0,374.0,0.29472025216706066,0.24553982530667948
0900300010041,0.9546,0.949344070658527,0.050655929341473005,Muy alto,5.0,1.0,2826.0,764.0,0.27034677990092004,0.2194667469284938
0900300010056,0.936,0.9251850889725939,0.07481491102740612,Alto,4.0,0.75,3692.0,1191.0,0.32258938244853735,0.2753523202284737
0900300010060,0.9105,0.8920639044031692,0.10793609559683082,Alto,4.0,0.75,4048.0,1640.0,0.4051383399209486,0.3636575651568156
0900300010075,0.9497,0.942979607741265,0.05702039225873501,Muy alto,5.0,1.0,2637.0,776.0,0.29427379598028064,0.24506223692603205
090030001008A,0.9687,0.9676581374204442,0.03234186257955585,Muy alto,5.0,1.0,2172.0,483.0,0.2223756906077348,0.16815054719417455
0900300010094,0.9393,0.9294713599168724,0.07052864008312765,Muy alto,5.0,1.0,3368.0,1131.0,0.33580760095011875,0.2894922689090926
0900300010107,0.9091,0.8902454864268087,0.10975451357319133,Alto,4.0,0.75,6819.0,2857.0,0.41897638949992666,0.37846056685202883
0900300010111,0.9163,0.8995973503052344,0.10040264969476564,Alto,4.0,0.75,1024.0,383.0,0.3740234375,0.33037296455938703
0900300010126,0.9403,0.930770229899987,0.06922977010001297,Muy alto,5.0,1.0,1651.0,488.0,0.29557843731072075,0.24645785324579786
0900300010130,0.9203,0.9047928302376932,0.09520716976230681,Alto,4.0,0.75,1929.0,744.0,0.3856920684292379,0.34285527013579786
0900300010145,0.9467,0.939082997791921,0.06091700220807905,Muy alto,5.0,1.0,1915.0,575.0,0.3002610966057441,0.2514670428058382
090030001015A,0.9259,0.9120665021431353,0.08793349785686466,Alto,4.0,0.75,4805.0,1770.0,0.368366285119667,0.32432132875636416
0900300010164,0.9548,0.9496038446551499,0.05039615534485009,Muy alto,5.0,1.0,2787.0,817.0,0.29314675278076785,0.24385660297467582
