cvegeo,grado_rezago_social,grado_rezago_num,indice_rezago_social,rezago_norm,area_km2,centroide_lon,centroide_lat
0900500010987,Bajo,2,,0.25,0.2719619410065732,-99.11265855861093,19.49703106249693
0901600010020,Bajo,2,,0.25,0.9800011039489506,-99.20343091533935,19.465595548687403
0901600010798,Muy bajo,1,,0.0,2.881116214476368,-99.1880583076004,19.42156657470522
0901600010891,Muy bajo,1,,0.0,0.23975947284657362,-99.18219120649567,19.41510150127463
090160001068A,Muy bajo,1,,0.0,0.3934942774158549,-99.18119854173453,19.43097742408289
0901600010694,Muy bajo,1,,0.0,0.16394895307031698,-99.1794328350222,19.432302125961495
0901600010016,Muy alto,5,,1.0,1.0039971405721966,-99.19773851776601,19.469269557983694
0901600010800,Muy bajo,1,,0.0,0.20671008335339877,-99.2226264935964,19.431983761535864
0901600010073,Muy bajo,1,,0.0,0.1411860320249233,-99.16822849231804,19.45594186451636
0901600010213,Muy bajo,1,,0.0,0.32390867455165656,-99.16671855887732,19.44596801728571
0901600010228,Muy bajo,1,,0.0,0.1394134883377674,-99.21538166415628,19.452430971358872
0901600010054,Bajo,2,,0.25,0.35850395306181576,-99.1851718096915,19.45980094166008
0901600010069,Muy bajo,1,,0.0,0.2875871122362503,-99.17566924471069,19.45614077694943
0901600010092,Muy bajo,1,,0.0,0.24709580846311072,-99.2124072942399,19.4583493120749
0901600010232,Muy bajo,1,,0.0,0.47869996769308365,-99.21022224996753,19.452201316451387
0901600010711,Muy bajo,1,,0.0,0.28507744423294856,-99.175652008789,19.429851301145703
0901600010853,Muy bajo,1,,0.0,0.14807800122181164,-99.22642348325742,19.424027728627394
0901600011029,Muy bajo,1,,0.0,0.22232592228446468,-99.18534530282423,19.41196311410961
090160001118A,Muy bajo,1,,0.0,0.39660626697423135,-99.17895337994922,19.404358507315045
0901600011211,Muy bajo,1,,0.0,0.26153138459805364,-99.18140268397887,19.398239877725196
0901600011226,Muy bajo,1,,0.0,0.21396190315520544,-99.17284222947909,19.401107401003227
0901600011071,Medio,3,,0.5,1.3837852329947247,-99.21602251246686,19.404775288278852
0901600011090,Bajo,2,,0.25,0.22596790797564503,-99.20607766632911,19.402514811508592
0901600011103,Bajo,2,,0.25,0.1254150671848338,-99.20188976537138,19.404074272176725
0901600011118,Bajo,2,,0.25,0.235305553205543,-99.19890239099601,19.405267440629494
0901600011137,Muy bajo,1,,0.0,0.19722596223056116,-99.19459961027373,19.405267290022223
0901600011156,Muy bajo,1,,0.0,0.5070306809105692,-99.18944950449655,19.40158543877018
0901600011230,Muy bajo,1,,0.0,0.3197139057458053,-99.24257423783891,19.40900860736331
090160001125A,Muy bajo,1,,0.0,0.507532602741206,-99.24808940010145,19.40509312702553
0901600011283,Muy bajo,1,,0.0,1.4426917267287114,-99.22884492912155,19.39964124845
0901600011298,Muy bajo,1,,0.0,0.6222215270091691,-99.25234847316811,19.399993618879147
0901600010088,Muy bajo,1,,0.0,0.6570156439629856,-99.16890994319091,19.452068186379133
0901600010815,Muy bajo,1,,0.0,0.19638192834899673,-99.2201314512481,19.429173971168265
0901600010868,Muy bajo,1,,0.0,0.30619643384273143,-99.22095784961836,19.425489320482914
090160001100A,Muy bajo,1,,0.0,0.035308098653959036,-99.20577794247355,19.422651719586685
0901600010143,Muy bajo,1,,0.0,0.21122158747517192,-99.19260090242933,19.455182655515475
0901600010887,Muy bajo,1,,0.0,0.07979982448391514,-99.21115027445045,19.427072062957212
0901600010425,Muy bajo,1,,0.0,0.11548125672251174,-99.2146788655318,19.445742279657118
0901600010764,Muy bajo,1,,0.0,0.038301608642405637,-99.1968177101715,19.43076165488912
0901600010139,Muy bajo,1,,0.0,0.20293097298007276,-99.19437036297738,19.45768312065573
0901600010158,Muy bajo,1,,0.0,0.26631233835723844,-99.18862788379866,19.45687871962735
0901600010478,Muy bajo,1,,0.0,0.3713006389627529,-99.18649347680638,19.441569403451094
0901600010548,Muy bajo,1,,0.0,0.2071154677420083,-99.20937744791543,19.44203722737526
0901600010482,Muy bajo,1,,0.0,0.46469476411692706,-99.18021532448378,19.441764924215917
0901600010533,Muy bajo,1,,0.0,0.17475882029601694,-99.2125307940996,19.44039457961055
0901600010035,Medio,3,,0.5,0.6511374566687085,-99.20561949743346,19.461672204435736
0901600010270,Bajo,2,,0.25,0.32028029950964226,-99.18809546231968,19.450719443767674
0901600010336,Muy bajo,1,,0.0,0.061954585531886326,-99.21290092090285,19.44911647245405
0901600010340,Muy bajo,1,,0.0,0.24955410218307444,-99.20956220793116,19.447245844450798
090160001036A,Bajo,2,,0.25,0.14785552518987635,-99.2023711006998,19.446945465640948
0901600010374,Bajo,2,,0.25,0.13949121079001922,-99.19779001044927,19.44895208038812
0901600010389,Bajo,2,,0.25,0.10502546287832373,-99.19750550272023,19.446806177437924
090160001043A,Muy bajo,1,,0.0,0.06909668551298342,-99.21178874618388,19.446037551452317
0901600010444,Muy bajo,1,,0.0,0.7030683199135725,-99.20403622892292,19.442253023924543
0901600010603,Muy bajo,1,,0.0,0.30782667178835704,-99.17421591304681,19.435504865321768
0901600010641,Muy bajo,1,,0.0,0.3740161808221152,-99.19885069445425,19.434939515494683
0901600010707,Muy bajo,1,,0.0,0.16814840024511418,-99.17823999601234,19.434480163595182
0901600010745,Muy bajo,1,,0.0,0.1246563649954739,-99.20238985315673,19.430607233850335
090160001075A,Muy bajo,1,,0.0,0.20696213182819198,-99.19824724013124,19.429518443128625
0901600010961,Muy bajo,1,,0.0,0.32223733695092827,-99.212703713657,19.420603607273545
0901600010976,Muy bajo,1,,0.0,0.07357331956062443,-99.20928565256108,19.421622951596255
0901600010980,Muy bajo,1,,0.0,0.22952274576534784,-99.2105399477844,19.41804316147171
0901600010995,Muy bajo,1,,0.0,0.412919163598738,-99.20555174116075,19.422859480683954
0901600011207,Muy bajo,1,,0.0,0.3327977490508567,-99.17981648558025,19.40098186995704
0901600010783,Muy bajo,1,,0.0,0.3807827252588307,-99.18793982716291,19.429367765217336
0901600011122,Bajo,2,,0.25,0.11221840465203559,-99.19549342511613,19.408425481248834
0901600010675,Muy bajo,1,,0.0,0.22029028861007607,-99.18656967670755,19.433341150961095
0901600010779,Muy bajo,1,,0.0,0.2738565984416252,-99.19383128382258,19.4287192586159
0901600010834,Muy bajo,1,,0.0,0.06320314351606827,-99.21389200136296,19.429967524085427
0901600011349,Bajo,2,,0.25,0.28657448575190214,-99.19315483243776,19.448140707359116
0901600010872,Muy bajo,1,,0.0,0.46169842275900347,-99.21433879159105,19.425930251500706
0901600010919,Muy bajo,1,,0.0,0.35940825000106225,-99.2211436009772,19.421494565602824
0901600010251,Bajo,2,,0.25,0.2618471217496426,-99.19668237400796,19.452057152739123
090160001132A,Bajo,2,,0.25,0.07834194439228567,-99.20076468790688,19.449627109372173
090160001004A,Bajo,2,,0.25,0.3756593543574007,-99.19507175000568,19.461549206681347
0901600010957,Muy bajo,1,,0.0,0.03928046245350544,-99.21438825589748,19.419188753095888
0901600010410,Muy bajo,1,,0.0,0.2987732587086153,-99.21627882388972,19.444901699392613
0901600010162,Muy bajo,1,,0.0,0.22604488704665848,-99.18503868940121,19.455271990403542
0901600010459,Muy bajo,1,,0.0,0.23021362584920532,-99.19761362205752,19.44258448411408
090160001050A,Bajo,2,,0.25,0.2052695749276902,-99.17018773870188,19.43920628533839
0901600010552,Muy bajo,1,,0.0,0.2230481209276942,-99.1971974382327,19.439503466974262
0901600010393,Muy bajo,1,,0.0,0.41539026362382975,-99.18691305536234,19.446497492416878
090160001082A,Bajo,2,,0.25,0.09780173831185952,-99.21786903392619,19.431105843246126
0901600010317,Muy bajo,1,,0.0,0.0814873276303665,-99.2147594702019,19.451034916317134
0901600010105,Bajo,2,,0.25,0.26372103958899107,-99.20799617292346,19.45830006460116
090160001011A,Bajo,2,,0.25,0.20756850824890047,-99.20301665049644,19.456052011122146
0901600010247,Bajo,2,,0.25,0.380645748489038,-99.20572658649397,19.453343767436678
0901600010321,Muy bajo,1,,0.0,0.11358598010803118,-99.21587279993496,19.44825218283776
0901600010586,Muy bajo,1,,0.0,0.10742656986736814,-99.1815377508501,19.438046651716277
0901600010590,Muy bajo,1,,0.0,0.1544706511421659,-99.17512252344198,19.438045731817684
0901600011052,Muy bajo,1,,0.0,0.5689187971521862,-99.22314107773202,19.40928924909117
0901600010923,Muy bajo,1,,0.0,0.6884355068842644,-99.22439230819015,19.416928408332648
0901600011048,Muy bajo,1,,0.0,0.4837326039174302,-99.22733762291784,19.411563077149722
0901600011067,Muy bajo,1,,0.0,0.5876177108560782,-99.21503669149952,19.411347823240366
0901600011014,Muy bajo,1,,0.0,1.6569878139604797,-99.19952882823779,19.41602134873654
0901600011194,Muy bajo,1,,0.0,0.1923934030395931,-99.18604194129358,19.400915872076844
0901600011141,Muy bajo,1,,0.0,0.150870799441214,-99.192317345838,19.409371101908295
0901600011160,Muy bajo,1,,0.0,0.4041686257457271,-99.18777836246694,19.408731139743676
0901600011175,Muy bajo,1,,0.0,0.17991264858349812,-99.18565609966765,19.404623820754207
0901600011353,Muy bajo,1,,0.0,0.0696671999292019,-99.21996230287436,19.433852089439263
0901600011368,Muy bajo,1,,0.0,0.16501304321086796,-99.21826690605107,19.435030955626324
0901600010181,Muy bajo,1,,0.0,0.4061232665142556,-99.1788056133101,19.450414117983676
0901600011315,Bajo,2,,0.25,0.06398047743605433,-99.20254780234346,19.44949688239441
0901600011334,Bajo,2,,0.25,0.07930804167139324,-99.19200841177434,19.452354268756352
0901600010177,Muy bajo,1,,0.0,0.3975076728971876,-99.1822754390691,19.45254641241822
0901600010209,Muy bajo,1,,0.0,0.14647398951499452,-99.17133339430981,19.450819770540907
0901600010285,Muy bajo,1,,0.0,0.30299195866611117,-99.17626069907718,19.44537445714313
0901600010637,Muy bajo,1,,0.0,0.5041979475459303,-99.20549179200685,19.43465777141067
0901600010656,Muy bajo,1,,0.0,0.4136520998488576,-99.19357000229452,19.434805496963506
0901600010660,Muy bajo,1,,0.0,0.2497007744722545,-99.18843020437,19.435622924122995
0901600010942,Muy bajo,1,,0.0,0.3293061226978757,-99.21692086540904,19.41818057944167
0901600010124,Bajo,2,,0.25,0.2633700982109504,-99.19911551154618,19.455904894515832
0901600011033,Muy bajo,1,,0.0,0.5922839995005652,-99.23403678574903,19.41024466548693
0901600010904,Muy bajo,1,,0.0,0.42309832490777594,-99.23080192757574,19.417928203420626
0901600010463,Bajo,2,,0.25,0.27320253468787686,-99.19252341344699,19.443840708715346
0901600010571,Muy bajo,1,,0.0,0.280968970846688,-99.18995982683288,19.43938299327022
0901600010622,Muy bajo,1,,0.0,0.2687938907476439,-99.20994759936954,19.43708599365399
0901600010849,Muy bajo,1,,0.0,0.3843719203100997,-99.20717723206931,19.428754127126417
0901600010730,Muy bajo,1,,0.0,0.3010920615339426,-99.21261149795295,19.43237627559976
0901600010618,Muy bajo,1,,0.0,0.2633270137885781,-99.2156817868878,19.43679605610233
0901600010514,Muy bajo,1,,0.0,0.8759592240978532,-99.22274018470272,19.438407689363398
0901600010497,Bajo,2,,0.25,0.2675521520866577,-99.17308476442709,19.44188454003285
090160001029A,Muy bajo,1,,0.0,0.28695765441901266,-99.1725604880493,19.446735351883294
0901600011279,Muy bajo,1,,0.0,0.5582269021671815,-99.23481560359458,19.402160615164984
0901600011264,Muy bajo,1,,0.0,0.5612963068126289,-99.23999359584082,19.4042210900602
0901600011300,Muy bajo,1,,0.0,1.7307886724859267,-99.2453578011512,19.394346362912437
0901300010885,Medio,3,,0.5,0.7780512188786749,-99.11725270627406,19.19666831836292
090130001057A,Bajo,2,,0.25,0.048379460454211716,-99.00848032473984,19.252071773277528
0901300010565,Bajo,2,,0.25,0.2896905230225495,-99.01108346091193,19.25170026020135
0901300010029,Muy bajo,1,,0.0,0.44089827602292647,-99.13027935412555,19.282120576713737
0901300011243,Muy bajo,1,,0.0,0.8578922486336074,-99.11084734288166,19.286952796222558
0901300011224,Bajo,2,,0.25,0.4386595683920381,-99.12049917587143,19.283437171889634
0901300011205,Bajo,2,,0.25,0.08048292874469631,-99.01236814903643,19.246841388868386
0901300011455,Medio,3,,0.5,0.57887904429689,-99.13240475819563,19.23839812554937
090130001018A,Muy bajo,1,,0.0,0.06566997040446673,-99.11959362480196,19.261098616898675
0901300010086,Muy bajo,1,,0.0,0.28621024509387744,-99.1193872009501,19.268993856724787
0901300010160,Muy bajo,1,,0.0,0.557387222163002,-99.11760030038019,19.263503607249362
0901300010495,Bajo,2,,0.25,0.05333140231589089,-99.11210605106204,19.242733291534943
090130001139A,Muy bajo,1,,0.0,0.11558891149019747,-99.11278349510658,19.280542237016732
0901300010033,Muy bajo,1,,0.0,0.2618761351965379,-99.12999802482763,19.278173806024082
0901300010315,Muy bajo,1,,0.0,0.29684571108258695,-99.11642699736693,19.256479577985846
090130001032A,Bajo,2,,0.25,0.3050766109453106,-99.10910862849836,19.25484300048064
0901300011385,Muy bajo,1,,0.0,0.18230953016316087,-99.11625456671108,19.278599409828395
0901300010688,Bajo,2,,0.25,0.44779173581947185,-99.10936433316694,19.268804279391638
090130001107A,Muy bajo,1,,0.0,0.5930204633075201,-99.12566468882082,19.27183272554896
0901300011050,Bajo,2,,0.25,0.26405314377767886,-99.11366430037546,19.269263023920427
0901300011065,Muy bajo,1,,0.0,0.4590281181291911,-99.12419638619079,19.277013507547842
090130001121A,Bajo,2,,0.25,0.27344250788969227,-99.11781542693399,19.285485140028122
0901300011239,Bajo,2,,0.25,0.26311598125513735,-99.1205653379088,19.27829008515461
0901300010194,Muy bajo,1,,0.0,0.04627245582148176,-99.12068088164328,19.25846309152101
0901300010175,Muy bajo,1,,0.0,0.39181437747168424,-99.12286900470892,19.26267532094159
0901300010211,Bajo,2,,0.25,0.38255190913572457,-99.11093311053048,19.26218282223456
0901300010226,Bajo,2,,0.25,0.23287682538121907,-99.10569385434545,19.262894117855403
0901300010230,Bajo,2,,0.25,0.2585919095996816,-99.1069606951299,19.25874213167267
0901300011578,Alto,4,,0.75,0.012865737534942915,-99.05524589352025,19.240847584886172
0901300011262,Muy bajo,1,,0.0,0.2508387917580104,-99.108049438115,19.28303676893682
0901300010207,Muy bajo,1,,0.0,0.22776964863266627,-99.11743689825188,19.260953103211886
0901300010705,Medio,3,,0.5,0.26453919466792014,-99.08821255389331,19.26298731412694
0901300011135,Medio,3,,0.5,0.6793724752418078,-99.0838702392169,19.260177004997576
0901300011046,Bajo,2,,0.25,0.23877154211537893,-99.11689628082371,19.271599668247045
0901300011510,Medio,3,,0.5,0.15555704163661174,-99.11388296539991,19.221778098632694
0901300011474,Medio,3,,0.5,0.26873237228724495,-99.10728015493017,19.20059494924143
0901300011402,Medio,3,,0.5,0.28398061342991315,-99.08190131252977,19.25400585959072
0901300010461,Bajo,2,,0.25,0.7798346099739527,-99.0824457222958,19.245142654385976
0901300011328,Bajo,2,,0.25,0.6376595894814768,-99.02503011083422,19.250122547886885
0901300010870,Bajo,2,,0.25,0.3056050337860281,-99.02010463269434,19.24237903749496
0901300010866,Medio,3,,0.5,0.32089740387203874,-99.03417904884971,19.247536243274613
0901300010813,Bajo,2,,0.25,0.7216424187583951,-99.14166619015258,19.239842486315606
