ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,64,Paraje Cerro de los Padres,"99Â°19'01.120"" W","19Â°21'51.054"" N",2843.0,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,66,Santa Laura [Rancho],"99Â°19'10.138"" W","19Â°20'36.786"" N",2725.0,38,13,25,0,0,0,38,13,25,38,13,25,37,13,24,37,13,24,36,12,24,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,5,2,3,6,2,2,0,192.31,1,36,1,31,10,21,6,3,3,31,5,33,10,0,0,2,0,0,20,1
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,67,La Papa [Escuela NiÃ±os HÃ©roes],"99Â°18'46.174"" W","19Â°20'42.793"" N",2854.0,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,70,Punta Galicia,"99Â°18'12.141"" W","19Â°22'29.628"" N",2536.0,438,207,231,17,13,4,421,194,227,404,188,216,355,162,193,339,154,185,313,142,171,28,15,13,38,17,21,44,19,25,16,8,8,26,12,14,68,26,42,124,20,10,10,111.59,99,329,10,262,101,161,92,60,32,258,161,277,159,26,0,0,6,72,8,6
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,71,Cola de Pato,"99Â°20'23.850"" W","19Â°18'13.824"" N",3128.0,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,73,Los Aguacates,"99Â°18'38.635"" W","19Â°22'11.647"" N",2725.0,514,261,253,36,20,16,478,241,237,461,231,230,388,188,200,360,172,188,328,155,173,33,21,12,57,32,25,71,37,34,28,16,12,32,17,15,83,40,43,146,24,12,12,96.93,154,343,17,266,100,166,122,88,34,265,228,286,160,8,0,0,1,113,3,1
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,74,Punta Ahuatenco,"99Â°18'20.883"" W","19Â°22'04.908"" N",2556.0,173,74,99,12,6,6,161,68,93,157,67,90,137,58,79,124,55,69,105,45,60,8,2,6,16,8,8,26,9,17,13,3,10,19,10,9,22,8,14,43,13,5,8,133.78,49,119,5,82,24,58,55,34,21,82,78,95,35,10,0,0,1,48,1,0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,75,Los Laureles [Rancho],"99Â°18'07.338"" W","19Â°19'53.695"" N",2742.0,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,77,Coatzehuaya,"99Â°19'31.307"" W","19Â°21'00.103"" N",2822.0,28,13,15,2,1,1,26,12,14,24,11,13,18,9,9,18,9,9,17,8,9,2,1,1,6,2,4,4,1,3,0,0,0,1,1,0,3,2,1,7,3,1,2,115.38,10,16,2,10,2,8,8,7,1,10,11,17,10,0,0,0,7,0,0,0
9,Ciudad de MÃ©xico,4,Cuajimalpa de Morelos,78,La Loma,"99Â°20'07.055"" W","19Â°19'22.025"" N",3005.0,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
