Clave entidad,Entidad,Clave municipio,Municipio,Clave localidad,Localidad,Longitud,Latitud,Altitud,Población total,Población femenina,Población masculina,Pob. 3 años y más,Pob. 3 años y más (F),Pob. 3 años y más (M),Pob. 18 años y más,Pob. 18 años y más (F),Pob. 18 años y más (M),Relación hombres-mujeres,Pob. económicamente activa,Pob. económicamente activa (F),Pob. económicamente activa (M),Pob. económicamente inactiva,Pob. económicamente inactiva (F),Pob. económicamente inactiva (M),Pob. ocupada,Sin derechohabiencia,Con derechohabiencia,Derechohabiente IMSS,Derechohabiente ISSSTE federal,Derechohabiente ISSSTE estatal,Afiliado Seguro Popular/Bienestar,Seguro Popular o Médico Siglo XXI,Derechohabiente IMSS-Bienestar,Afiliado institución privada,Afiliado otra institución,Niños,Niños (F),Niños (M),Jóvenes,Jóvenes (F),Jóvenes (M),Adultos,Adultos (F),Adultos (M),Tercera edad,Tercera edad (F),Tercera edad (M)
9,Ciudad de MÃ©xico,7,Iztapalapa,1,Iztapalapa,"99Â°05'33.441"" W","19Â°21'32.414"" N",2239.0,1835486,947835.0,887651.0,1777184.0,919066.0,858118.0,1383459.0,725294.0,658165.0,93.65,984791.0,431714.0,553077.0,563273.0,374587.0,188686.0,963957.0,594796.0,1239534.0,682711.0,198029.0,3023.0,16218.0,302911.0,3418.0,25250.0,24076.0,284419.0,140085.0,144334.0,167213.0,82256.0,84957.0,1121395.0,578525.0,542870.0,262064.0,146769.0,115295.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,1,La Magdalena Contreras,"99Â°14'29.456"" W","19Â°18'17.633"" N",2521.0,246428,128767.0,117661.0,239219.0,125131.0,114088.0,188216.0,99952.0,88264.0,91.38,132336.0,59863.0,72473.0,76983.0,50607.0,26376.0,128809.0,67552.0,178315.0,105753.0,28343.0,162.0,2071.0,32567.0,290.0,13664.0,1211.0,36192.0,17935.0,18257.0,21977.0,10856.0,11121.0,150237.0,78344.0,71893.0,37979.0,21608.0,16371.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,71,Ejido de San NicolÃ¡s Totolapan,"99Â°14'43.606"" W","19Â°15'14.274"" N",2914.0,15,7.0,8.0,15.0,7.0,8.0,11.0,6.0,5.0,114.29,11.0,6.0,5.0,1.0,1.0,0.0,11.0,5.0,10.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,9.0,4.0,5.0,2.0,2.0,0.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,75,Segundo Dinamo,"99Â°16'28.157"" W","19Â°17'03.597"" N",2756.0,10,1.0,9.0,10.0,1.0,9.0,10.0,1.0,9.0,900.0,7.0,1.0,6.0,2.0,0.0,2.0,7.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,2.0,0.0,2.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,83,El Gavillero,"99Â°14'56.833"" W","19Â°17'13.291"" N",2604.0,452,234.0,218.0,428.0,218.0,210.0,305.0,162.0,143.0,93.16,170.0,52.0,118.0,190.0,135.0,55.0,165.0,223.0,229.0,77.0,15.0,0.0,2.0,130.0,0.0,5.0,0.0,92.0,47.0,45.0,55.0,25.0,30.0,278.0,149.0,129.0,27.0,13.0,14.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,85,El Ocotal (La Carbonera),"99Â°15'45.401"" W","19Â°17'37.875"" N",2726.0,23,11.0,12.0,23.0,11.0,12.0,19.0,8.0,11.0,109.09,5.0,3.0,2.0,16.0,8.0,8.0,3.0,4.0,19.0,8.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,14.0,7.0,7.0,5.0,1.0,4.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,88,Totolapan,"99Â°14'45.672"" W","19Â°16'50.508"" N",2622.0,334,164.0,170.0,320.0,161.0,159.0,233.0,116.0,117.0,103.66,183.0,69.0,114.0,81.0,62.0,19.0,183.0,156.0,178.0,90.0,5.0,0.0,0.0,83.0,0.0,0.0,0.0,70.0,33.0,37.0,31.0,15.0,16.0,217.0,109.0,108.0,16.0,7.0,9.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,101,Ocotenco (La Loma Cazulco),"99Â°15'15.889"" W","19Â°17'34.392"" N",2658.0,15,4.0,11.0,15.0,4.0,11.0,15.0,4.0,11.0,275.0,7.0,1.0,6.0,6.0,2.0,4.0,1.0,0.0,15.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,5.0,2.0,3.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,104,Rancho Viejo,"99Â°15'01.151"" W","19Â°15'29.664"" N",2842.0,67,32.0,35.0,62.0,31.0,31.0,39.0,21.0,18.0,109.38,31.0,13.0,18.0,14.0,10.0,4.0,31.0,21.0,46.0,8.0,6.0,0.0,0.0,31.0,0.0,0.0,1.0,22.0,9.0,13.0,6.0,2.0,4.0,34.0,21.0,13.0,5.0,0.0,5.0
9,Ciudad de MÃ©xico,8,La Magdalena Contreras,106,ProlongaciÃ³n ErmitaÃ±o,"99Â°16'02.363"" W","19Â°18'03.091"" N",2740.0,37,17.0,20.0,35.0,16.0,19.0,25.0,12.0,13.0,117.65,24.0,11.0,13.0,4.0,2.0,2.0,24.0,6.0,31.0,4.0,0.0,0.0,0.0,12.0,0.0,15.0,0.0,9.0,4.0,5.0,3.0,1.0,2.0,23.0,11.0,12.0,2.0,1.0,1.0
